P_MPa,T_K,r_m,phase,rho_kgm3,Cp_JkgK,alpha_pK,g_ms2,phi_frac,sigma_Sm,kTherm_WmK,VP_kms,VS_kms,QS,KS_GPa,GS_GPa,Ppore_MPa,rhoMatrix_kgm3,rhoPore_kgm3,MLayer_kg,VLayer_m3,Htidal_Wm3,eta_Pas
0,110,1560800,1,932.71866,949.39073,3.8612049e-05,1.3148247,0,1e-08,2.2809862,4.1915858,2.192281,25652.12,10.410319,4.4827353,0,932.71866,0,3.1015124e+18,3.3252389e+15,0,3.639573e+14
0.13321932,110.4915,1560691.4,1,932.71283,952.9829,3.9027421e-05,1.3149228,0,1e-08,5.5388877,4.1908635,2.1915047,24456.26,10.408839,4.4795331,0,932.71283,0,3.1008494e+18,3.3245489e+15,0,3.639573e+14
0.26643864,110.98519,1560582.7,1,932.70672,956.58295,3.9445943e-05,1.3150208,0,1e-08,5.514249,4.1901349,2.1907252,23321.101,10.407323,4.4763177,0,932.70672,0,3.1001865e+18,3.3238599e+15,0,3.639573e+14
0.39965796,111.4811,1560474.1,1,932.70034,960.19095,3.9867609e-05,1.315119,0,1e-08,5.48972,4.1893999,2.1899425,22243.333,10.405772,4.4730891,0,932.70034,0,3.0995237e+18,3.3231721e+15,0,3.639573e+14
0.53287728,111.97921,1560365.5,1,932.69369,963.80698,4.0292413e-05,1.3152171,0,1e-08,5.4653001,4.1886586,2.1891566,21219.839,10.404184,4.4698472,0,932.69369,0,3.0988611e+18,3.3224853e+15,0,3.639573e+14
0.66609661,112.47955,1560256.9,1,932.68675,967.43111,4.0720349e-05,1.3153152,0,1e-08,5.4409888,4.1879107,2.1883674,20247.683,10.40256,4.466592,0,932.68675,0,3.0981985e+18,3.3217996e+15,0,3.639573e+14
0.79931593,112.98213,1560148.3,1,932.67954,971.06343,4.115141e-05,1.3154134,0,1e-08,5.4167857,4.1871564,2.187575,19324.095,10.4009,4.4633234,0,932.67954,0,3.0975361e+18,3.3211151e+15,0,3.639573e+14
0.93253525,113.48696,1560039.7,1,932.67203,974.70401,4.1585587e-05,1.3155116,0,1e-08,5.3926902,4.1863955,2.1867794,18446.466,10.399201,4.4600414,0,932.67203,0,3.0968737e+18,3.3204316e+15,0,3.639573e+14
1.0657546,113.99404,1559931.2,1,932.66424,978.35293,4.2022874e-05,1.3156098,0,1e-08,5.3687019,4.1856279,2.1859805,17612.337,10.397466,4.4567459,0,932.66424,0,3.0962115e+18,3.3197493e+15,0,3.639573e+14
1.1989739,114.50338,1559822.6,1,932.65615,982.01026,4.246326e-05,1.3157081,0,1e-08,5.3448204,4.1848537,2.1851783,16819.389,10.395692,4.4534369,0,932.65615,0,3.0955494e+18,3.3190682e+15,0,3.639573e+14
1.3321932,115.015,1559714,1,932.64776,985.6761,4.2906737e-05,1.3158063,0,1e-08,5.321045,4.1840728,2.1843728,16065.432,10.39388,4.4501143,0,932.64776,0,3.0948874e+18,3.3183882e+15,0,3.639573e+14
1.4654125,115.52891,1559605.5,1,932.63908,989.35054,4.3353294e-05,1.3159046,0,1e-08,5.2973754,4.183285,2.183564,15348.404,10.392029,4.446778,0,932.63908,0,3.0942255e+18,3.3177094e+15,0,3.639573e+14
1.5986319,116.04511,1559496.9,1,932.63008,993.03367,4.380292e-05,1.3160029,0,1e-08,5.2738111,4.1824904,2.1827519,14666.356,10.390138,4.4434281,0,932.63008,0,3.0935637e+18,3.3170318e+15,0,3.639573e+14
1.7318512,116.56362,1559388.4,1,932.62078,996.7256,4.4255605e-05,1.3161012,0,1e-08,5.2503516,4.181689,2.1819364,14017.451,10.388208,4.4400645,0,932.62078,0,3.092902e+18,3.3163554e+15,0,3.639573e+14
1.8650705,117.08445,1559279.8,1,932.61116,1000.4264,4.4711336e-05,1.3161995,0,1e-08,5.2269965,4.1808805,2.1811177,13399.954,10.386238,4.4366871,0,932.61116,0,3.0922404e+18,3.3156802e+15,0,3.639573e+14
1.9982898,117.6076,1559171.3,1,932.60123,1004.1363,4.51701e-05,1.3162979,0,1e-08,5.2037453,4.180065,2.1802955,12812.226,10.384228,4.4332959,0,932.60123,0,3.0915789e+18,3.3150063e+15,0,3.639573e+14
2.1315091,118.13309,1559062.8,1,932.59098,1007.8553,4.5631884e-05,1.3163963,0,1e-08,5.1805975,4.1792425,2.17947,12252.72,10.382177,4.4298908,0,932.59098,0,3.0909176e+18,3.3143336e+15,0,3.639573e+14
2.2647285,118.66093,1558954.3,1,932.5804,1011.5835,4.6096674e-05,1.3164947,0,1e-08,5.1575527,4.1784129,2.1786412,11719.976,10.380084,4.4264717,0,932.5804,0,3.0902563e+18,3.3136621e+15,0,3.639573e+14
2.3979478,119.19113,1558845.8,1,932.5695,1015.3211,4.6564456e-05,1.3165931,0,1e-08,5.1346103,4.177576,2.1778089,11212.612,10.37795,4.4230387,0,932.5695,0,3.0895952e+18,3.3129919e+15,0,3.639573e+14
2.5311671,119.7237,1558737.3,1,932.55826,1019.0683,4.7035213e-05,1.3166915,0,1e-08,5.1117701,4.1767319,2.1769732,10729.324,10.375774,4.4195916,0,932.55826,0,3.0889341e+18,3.3123229e+15,0,3.639573e+14
2.6643864,120.25864,1558628.8,1,932.54669,1022.8251,4.750893e-05,1.31679,0,1e-08,5.0890314,4.1758805,2.1761341,10268.879,10.373555,4.4161305,0,932.54669,0,3.0882732e+18,3.3116553e+15,0,3.639573e+14
2.7976057,120.79598,1558520.3,1,932.53478,1026.5917,4.798559e-05,1.3168885,0,1e-08,5.0663939,4.1750218,2.1752916,9830.1118,10.371293,4.4126552,0,932.53478,0,3.0876124e+18,3.310989e+15,0,3.639573e+14
2.9308251,121.33572,1558411.8,1,932.52252,1030.3682,4.8465176e-05,1.316987,0,1e-08,5.043857,4.1741556,2.1744456,9411.9202,10.368988,4.4091658,0,932.52252,0,3.0869516e+18,3.310324e+15,0,3.639573e+14
3.0640444,121.87786,1558303.3,1,932.50992,1034.1547,4.8947669e-05,1.3170855,0,1e-08,5.0214205,4.1732819,2.1735962,9013.2621,10.36664,4.4056621,0,932.50992,0,3.086291e+18,3.3096603e+15,0,3.639573e+14
3.1972637,122.42244,1558194.9,1,932.49696,1037.9514,4.9433052e-05,1.3171841,0,1e-08,4.9990837,4.1724007,2.1727433,8633.1518,10.364247,4.4021441,0,932.49696,0,3.0856305e+18,3.3089979e+15,0,3.639573e+14
3.330483,122.96944,1558086.4,1,932.48365,1041.7584,4.9921305e-05,1.3172826,0,1e-08,4.9768463,4.1715119,2.1718869,8270.6566,10.36181,4.3986118,0,932.48365,0,3.0849701e+18,3.3083369e+15,0,3.639573e+14
3.4637024,123.51889,1557978,1,932.46997,1045.5759,5.0412409e-05,1.3173812,0,1e-08,4.9547078,4.1706155,2.171027,7924.8943,10.359327,4.3950651,0,932.46997,0,3.0843098e+18,3.3076773e+15,0,3.639573e+14
3.5969217,124.07079,1557869.5,1,932.45594,1049.404,5.0906343e-05,1.3174799,0,1e-08,4.9326678,4.1697113,2.1701636,7595.0294,10.3568,4.391504,0,932.45594,0,3.0836496e+18,3.3070191e+15,0,3.639573e+14
3.730141,124.62516,1557761.1,1,932.44153,1053.2428,5.1403087e-05,1.3175785,0,1e-08,4.9107258,4.1687994,2.1692967,7280.2715,10.354226,4.3879283,0,932.44153,0,3.0829895e+18,3.3063622e+15,0,3.639573e+14
3.8633603,125.18201,1557652.6,1,932.42675,1057.0926,5.1902619e-05,1.3176772,0,1e-08,4.8888814,4.1678796,2.1684263,6979.8721,10.351606,4.3843381,0,932.42675,0,3.0823295e+18,3.3057068e+15,0,3.639573e+14
3.9965796,125.74134,1557544.2,1,932.4116,1060.9535,5.2404917e-05,1.3177758,0,1e-08,4.8671342,4.1669519,2.1675522,6693.1222,10.34894,4.3807333,0,932.4116,0,3.0816696e+18,3.3050528e+15,0,3.639573e+14
4.129799,126.30318,1557435.8,1,932.39606,1064.8257,5.2909959e-05,1.3178745,0,1e-08,4.8454838,4.1660163,2.1666747,6419.3505,10.346227,4.3771138,0,932.39606,0,3.0810098e+18,3.3044002e+15,0,3.639573e+14
4.2630183,126.86752,1557327.4,1,932.38014,1068.7094,5.341772e-05,1.3179733,0,1e-08,4.8239296,4.1650726,2.1657935,6157.9208,10.343466,4.3734796,0,932.38014,0,3.0803501e+18,3.3037491e+15,0,3.639573e+14
4.3962376,127.43439,1557219,1,932.36382,1072.6048,5.3928178e-05,1.318072,0,1e-08,4.8024714,4.1641208,2.1649088,5908.2306,10.340657,4.3698307,0,932.36382,0,3.0796905e+18,3.3030995e+15,0,3.639573e+14
4.5294569,128.00379,1557110.5,1,932.34712,1076.512,5.4441308e-05,1.3181708,0,1e-08,4.7811085,4.1631609,2.1640204,5669.7086,10.337799,4.3661669,0,932.34712,0,3.079031e+18,3.3024513e+15,0,3.639573e+14
4.6626762,128.57573,1557002.2,1,932.33001,1080.4313,5.4957084e-05,1.3182696,0,1e-08,4.7598408,4.1621928,2.1631284,5441.8135,10.334893,4.3624883,0,932.33001,0,3.0783716e+18,3.3018047e+15,0,3.639573e+14
4.7958956,129.15023,1556893.8,1,932.31251,1084.3628,5.5475481e-05,1.3183684,0,1e-08,4.7386676,4.1612164,2.1622328,5224.0319,10.331938,4.3587947,0,932.31251,0,3.0777123e+18,3.3011595e+15,0,3.639573e+14
4.9291149,129.72729,1556785.4,1,932.29459,1088.3066,5.5996473e-05,1.3184672,0,1e-08,4.7175886,4.1602317,2.1613335,5015.8772,10.328933,4.3550862,0,932.29459,0,3.0770531e+18,3.3005159e+15,0,3.639573e+14
5.0623342,130.30694,1556677,1,932.27627,1092.2629,5.6520034e-05,1.3185661,0,1e-08,4.6966033,4.1592386,2.1604306,4816.8876,10.325878,4.3513626,0,932.27627,0,3.076394e+18,3.2998738e+15,0,3.639573e+14
5.1955535,130.88917,1556568.6,1,932.25753,1096.232,5.7046137e-05,1.318665,0,1e-08,4.6757114,4.158237,2.159524,4626.6255,10.322773,4.3476239,0,932.25753,0,3.075735e+18,3.2992332e+15,0,3.639573e+14
5.3287728,131.47401,1556460.3,1,932.23837,1100.2139,5.7574753e-05,1.3187639,0,1e-08,4.6549125,4.1572269,2.1586137,4444.6751,10.319616,4.34387,0,932.23837,0,3.0750761e+18,3.2985943e+15,0,3.639573e+14
5.4619922,132.06146,1556351.9,1,932.21878,1104.209,5.8105856e-05,1.3188628,0,1e-08,4.6342061,4.1562083,2.1576997,4270.6425,10.316408,4.340101,0,932.21878,0,3.0744173e+18,3.2979569e+15,0,3.639573e+14
5.5952115,132.65153,1556243.5,1,932.19877,1108.2174,5.8639417e-05,1.3189618,0,1e-08,4.6135917,4.1551809,2.1567819,4104.1532,10.313149,4.3363167,0,932.19877,0,3.0737586e+18,3.2973211e+15,0,3.639573e+14
5.7284308,133.24424,1556135.2,1,932.17832,1112.2394,5.9175407e-05,1.3190607,0,1e-08,4.5930691,4.1541449,2.1558604,3944.8522,10.309837,4.332517,0,932.17832,0,3.0731e+18,3.2966869e+15,0,3.639573e+14
5.8616501,133.8396,1556026.8,1,932.15743,1116.275,5.9713796e-05,1.3191597,0,1e-08,4.5726378,4.1531001,2.1549352,3792.4022,10.306473,4.328702,0,932.15743,0,3.0724415e+18,3.2960543e+15,0,3.639573e+14
5.9948695,134.43762,1555918.5,1,932.1361,1120.3247,6.0254555e-05,1.3192588,0,1e-08,4.5522973,4.1520464,2.1540062,3646.4829,10.303055,4.3248716,0,932.1361,0,3.0717831e+18,3.2954234e+15,0,3.639573e+14
6.1280888,135.03831,1555810.2,1,932.11432,1124.3886,6.0797654e-05,1.3193578,0,1e-08,4.5320473,4.1509838,2.1530734,3506.7901,10.299584,4.3210256,0,932.11432,0,3.0711248e+18,3.2947942e+15,0,3.639573e+14
6.2613081,135.64168,1555701.9,1,932.0921,1128.4669,6.1343061e-05,1.3194569,0,1e-08,4.5118875,4.1499123,2.1521368,3373.0349,10.296059,4.3171642,0,932.0921,0,3.0704666e+18,3.2941666e+15,0,3.639573e+14
6.3945274,136.24775,1555593.5,1,932.06941,1132.5599,6.1890746e-05,1.319556,0,1e-08,4.4918172,4.1488317,2.1511964,3244.9425,10.292479,4.3132871,0,932.06941,0,3.0698085e+18,3.2935407e+15,0,3.639573e+14
